company,website,contact_role,email,source_url
Klee Group,https://www.kleegroup.com,role - general contact,contact@kleegroup.com,https://www.kleegroup.com/fr/contact
Apizee,https://www.apizee.com,role - general contact,info@apizee.com,https://www.apizee.com/legal-information.php
Apizee,https://www.apizee.com,role - communications,communication@apizee.com,https://www.apizee.com/legal-information.php
Ziwit,https://www.ziwit.com,role - general contact,contact@ziwit.com,https://www.ziwit.com/fr/
TheGreenBow,https://www.thegreenbow.com,role - general contact,contact@thegreenbow.com,https://www.thegreenbow.com/fr/mentions-legales/
TheGreenBow,https://www.thegreenbow.com,role - DPO / privacy,privacy@thegreenbow.com,https://www.thegreenbow.com/fr/contact/
Wallix,https://www.wallix.com,role - general contact,info@wallix.com,https://www.wallix.com/legal-notice/
Wallix,https://www.wallix.com,role - DPO / privacy,privacy@wallix.com,https://www.wallix.com/legal-notice/
Lexfo,https://lexfo.fr,role - general contact,contact@lexfo.fr,https://lexfo.fr/contact/
Lexfo,https://lexfo.fr,role - CSIRT / security incidents,csirt@lexfo.fr,https://lexfo.fr/contact/
Clever Age,https://www.clever-age.com,role - DPO / privacy,privacy@clever-age.com,https://www.clever-age.com/mentions-legales/
Clever Age,https://www.clever-age.com,role - HR,drh@clever-age.com,https://www.clever-age.com/mentions-legales/
Eficia,https://eficia.com,role - general contact,contact@eficia.com,https://eficia.com/fr/a-propos/contact
Madworks,https://madworks.fr,role - general contact,info@madworks.fr,https://madworks.fr/contact/
Eulerian,https://www.eulerian.com,role - sales,commercial@eulerian.com,https://www.eulerian.com/societe/contact
Eulerian,https://www.eulerian.com,role - marketing,marketing@eulerian.com,https://www.eulerian.com/mentions-legales
Smartesting,https://www.smartesting.com,role - general contact,hello@smartesting.com,https://www.smartesting.com/mentions-legales/
Ateme,https://www.ateme.com,person - data privacy contact,d.bunma@ateme.com,https://www.ateme.com/
Yomoni,https://www.yomoni.fr,role - general contact,hello@yomoni.fr,https://www.yomoni.fr/legal/informations-reglementaires
Yomoni,https://www.yomoni.fr,role - claims / reclamations,reclamation@yomoni.fr,https://www.yomoni.fr/legal/informations-reglementaires
Yomoni,https://www.yomoni.fr,role - DPO / privacy,dpo@yomoni.fr,https://www.yomoni.fr/legal/politique-confidentialite
Nalo,https://nalo.fr,role - general contact,contact@nalo.fr,https://nalo.fr/
Nalo,https://nalo.fr,role - client service,service.client@nalo.fr,https://nalo.fr/
Finary,https://finary.com,role - general contact,hello@finary.com,https://finary.com/fr
Genosafe,https://genosafe.com,role - DPO / privacy,dpocontacts@genosafe.com,https://genosafe.com/contact-us/
Crossject,https://crossject.com,role - general contact,info@crossject.com,https://crossject.com/fr/mentions-legales/
Biophytis,https://www.biophytis.com,role - general contact,contact@biophytis.com,https://www.biophytis.com/
Biophytis,https://www.biophytis.com,role - investor relations,investors@biophytis.com,https://www.biophytis.com/
Cellectis,https://www.cellectis.com,role - general contact,contact@cellectis.com,https://www.cellectis.com/en/legal-notice/
Enalees,https://www.enalees.com,role - general contact,contact@enalees.com,https://www.enalees.com/mentions-legales/
Eurobio Scientific,https://www.eurobio-scientific.com,role - webmaster,web@eurobio-scientific.com,https://www.eurobio-scientific.com/
Eurobio Scientific,https://www.eurobio-scientific.com,role - general contact,contact@eurobio-scientific.com,https://www.eurobio-scientific.com/contact-us/
Echosens,https://www.echosens.com,role - general contact,contact@echosens.com,https://www.echosens.com/legal-notice/
Echosens,https://www.echosens.com,role - customer support,servicecare@echosens.com,https://www.echosens.com/contact-support/
Adocia,https://www.adocia.com,role - general contact,contact@adocia.com,https://www.adocia.com/
Almerys,https://www.be-almerys.com,role - sales,commercial@almerys.com,https://www.be-almerys.com/
Almerys,https://www.be-almerys.com,role - DPO / privacy,dpo@almerys.com,https://www.be-almerys.com/mentions-legales
Enertime,https://enertime.com,role - general contact,contact@enertime.com,https://enertime.com/fr/contact.html
Cattinair,https://www.cattinair.fr,role - general contact,info@cattinair.com,https://www.cattinair.fr/
Vergnet,https://www.vergnet.com,role - DPO / RGPD,rgpd@vergnet.com,https://www.vergnet.com/mentions-legales/
Cougnaud,https://www.cougnaud.com,role - general contact,info@cougnaud.com,https://www.cougnaud.com/mentions-legales/
Cougnaud,https://www.cougnaud.com,role - DPO / RGPD,rgpd@cougnaud.com,https://www.cougnaud.com/mentions-legales/
Serma Group,https://www.serma.com,role - general contact,contact@serma.com,https://www.serma.com/mentions-legales/
Serma Group,https://www.serma.com,role - legal notice,mentions.legales@serma.com,https://www.serma.com/mentions-legales/
Archos,https://www.archos.com,role - general contact,info@archos.com,https://www.archos.com/contact/
