company,website,contact_role,email,source_url,status,screen_recommendation,screen_reason,stage3_action
ORBIT IT-Solutions GmbH,https://www.orbit.de,role,jobs@orbit.de,https://www.orbit.de/karriere/,collected,discard,functional/non-decision-maker mailbox (jobs),remove from CSV / do not assign
MEDITECH Sachsen GmbH,https://www.meditech-sachsen.de,role,homecare@meditech-sachsen.de,https://www.meditech-sachsen.de/kontakt,collected,discard,functional/non-decision-maker mailbox (homecare),remove from CSV / do not assign
techbold technology group AG,https://www.techbold.at,role,job@techbold.at,https://www.techbold.at/kontakt,collected,discard,functional/non-decision-maker mailbox (job),remove from CSV / do not assign
techbold technology group AG,https://www.techbold.at,role,presse@techbold.at,https://www.techbold.at/kontakt,collected,discard,functional/non-decision-maker mailbox (presse),remove from CSV / do not assign
techbold technology group AG,https://www.techbold.at,role,investor@techbold.at,https://www.techbold.at/kontakt,collected,discard,functional/non-decision-maker mailbox (investor),remove from CSV / do not assign
Intecso AG,https://www.intecso.ch,role,OnlineMeeting@intecso.ch,https://www.intecso.ch/kontakt/,collected,discard,functional/non-decision-maker mailbox (onlinemeeting),remove from CSV / do not assign
SEP IT AG,https://www.sep.ch,role,IT-Support@SEP.ch,https://www.sep.ch/kontakt/st-gallen,collected,discard,functional/non-decision-maker mailbox (it-support),remove from CSV / do not assign
Schinner Versicherungsmaklerkanzlei GmbH,https://schinner.at,role,schaden@schinner.at,https://schinner.at/kontakt/,collected,discard,functional/non-decision-maker mailbox (schaden),remove from CSV / do not assign
ARTUS Unicon AG,https://www.unicon.ch,role,unicon@artus-gruppe.com,https://www.unicon.ch/firmenportrait/kontakt,collected,discard,third party / foreign / separate entity domain (artus-gruppe.com),remove from CSV / do not assign
HABEL Medizintechnik (Hellmut Habel Ges.m.b.H.),https://www.habel-medizintechnik.at,role,homecare@habel-medizintechnik.at,https://www.habel-medizintechnik.at/kontakt/,collected,discard,functional/non-decision-maker mailbox (homecare),remove from CSV / do not assign
HABEL Medizintechnik (Hellmut Habel Ges.m.b.H.),https://www.habel-medizintechnik.at,role,atemzentrum.linz@habel-medizintechnik.at,https://www.habel-medizintechnik.at/kontakt/,collected,discard,functional/non-decision-maker mailbox (atemzentrum.linz),remove from CSV / do not assign
HABEL Medizintechnik (Hellmut Habel Ges.m.b.H.),https://www.habel-medizintechnik.at,role,atemzentrum.wels@habel-medizintechnik.at,https://www.habel-medizintechnik.at/kontakt/,collected,discard,functional/non-decision-maker mailbox (atemzentrum.wels),remove from CSV / do not assign
HABEL Medizintechnik (Hellmut Habel Ges.m.b.H.),https://www.habel-medizintechnik.at,role,atemzentrum.salzburg@habel-medizintechnik.at,https://www.habel-medizintechnik.at/kontakt/,collected,discard,functional/non-decision-maker mailbox (atemzentrum.salzburg),remove from CSV / do not assign
HABEL Medizintechnik (Hellmut Habel Ges.m.b.H.),https://www.habel-medizintechnik.at,role,atemzentrum.graz@habel-medizintechnik.at,https://www.habel-medizintechnik.at/kontakt/,collected,discard,functional/non-decision-maker mailbox (atemzentrum.graz),remove from CSV / do not assign
HABEL Medizintechnik (Hellmut Habel Ges.m.b.H.),https://www.habel-medizintechnik.at,role,atemzentrum.innsbruck@habel-medizintechnik.at,https://www.habel-medizintechnik.at/kontakt/,collected,discard,functional/non-decision-maker mailbox (atemzentrum.innsbruck),remove from CSV / do not assign
HABEL Medizintechnik (Hellmut Habel Ges.m.b.H.),https://www.habel-medizintechnik.at,role,atemzentrum.hohenems@habel-medizintechnik.at,https://www.habel-medizintechnik.at/kontakt/,collected,discard,functional/non-decision-maker mailbox (atemzentrum.hohenems),remove from CSV / do not assign
Biomed AG,https://biomed.ch,role,vigilance@biomed.ch,https://biomed.ch/unternehmen/,collected,discard,functional/non-decision-maker mailbox (vigilance),remove from CSV / do not assign
Müller Martini Manufacturing AG,https://mullermartini-manufacturing.ch,role,mmha-verkauf@mullermartini.com,https://mullermartini-manufacturing.ch/kontakt,collected,keep,DSB/security/sales-relevant mailbox,proceed to person lookup / role conversion at Stage 3
Müller Martini Manufacturing AG,https://mullermartini-manufacturing.ch,role,info@mullermartini.com,https://mullermartini-manufacturing.ch/impressum,collected,discard,third party / foreign / separate entity domain (mullermartini.com),remove from CSV / do not assign
netcup.de,https://netcup.de,role,mail@netcup.de,https://www.netcup.com/de/kontakt/datenschutzerklaerung,collected,keep,DSB/security/sales-relevant mailbox,proceed to person lookup / role conversion at Stage 3
netcup.de,https://netcup.de,role,data-protection@anexia-it.com,https://www.netcup.com/de/kontakt/datenschutzerklaerung,collected,discard,third party / foreign / separate entity domain (anexia-it.com),remove from CSV / do not assign
netcup.de,https://netcup.de,role,abuse@netcup.de,https://www.netcup.com/de/kontakt/datenschutzerklaerung,collected,discard,functional/non-decision-maker mailbox (abuse),remove from CSV / do not assign
netcup.de,https://netcup.de,role,poststelle@lfdi.bwl.de,https://www.netcup.com/de/kontakt/datenschutzerklaerung,collected,discard,third party / foreign / separate entity domain (lfdi.bwl.de),remove from CSV / do not assign
netcup.de,https://netcup.de,role,impressum@netcup.com,https://www.netcup.com/de/kontakt/impressum,collected,discard,functional/non-decision-maker mailbox (impressum),remove from CSV / do not assign
tado.com,https://tado.com,role,legal@intercom.io,https://support.tado.com/de/articles/3590239-wie-kann-ich-tado-kontaktieren,collected,discard,third party / foreign / separate entity domain (intercom.io),remove from CSV / do not assign
tado.com,https://tado.com,role,privacy@tado.com,https://www.tado.com/de/legal/privacy-policy,collected,keep,DSB/security/sales-relevant mailbox,proceed to person lookup / role conversion at Stage 3
tado.com,https://tado.com,role,security@tado.com,https://www.tado.com/de/legal/information-security,collected,keep,DSB/security/sales-relevant mailbox,proceed to person lookup / role conversion at Stage 3
swu.de,https://swu.de,role,windenergie@swu.de,https://swu.de/impressum,collected,discard,functional/non-decision-maker mailbox (windenergie),remove from CSV / do not assign
swu.de,https://swu.de,role,telenet@swu.de,https://swu.de/impressum,collected,discard,functional/non-decision-maker mailbox (telenet),remove from CSV / do not assign
hetzner.com,https://hetzner.com,role,data-protection@hetzner.com,https://www.hetzner.com/legal/privacy-policy,collected,keep,DSB/security/sales-relevant mailbox,proceed to person lookup / role conversion at Stage 3
hetzner.com,https://hetzner.com,role,career@hetzner.com,https://www.hetzner.com/legal/privacy-policy,collected,discard,functional/non-decision-maker mailbox (career),remove from CSV / do not assign
hetzner.com,https://hetzner.com,role,event@hetzner.com,https://www.hetzner.com/legal/privacy-policy,collected,discard,functional/non-decision-maker mailbox (event),remove from CSV / do not assign
hetzner.com,https://hetzner.com,role,cda-review@hetzner.com,https://www.hetzner.com/legal/privacy-policy,collected,discard,functional/non-decision-maker mailbox (cda-review),remove from CSV / do not assign
hetzner.com,https://hetzner.com,role,tco@hetzner.com,https://www.hetzner.com/legal/legal-notice/,collected,discard,functional/non-decision-maker mailbox (tco),remove from CSV / do not assign
hetzner.com,https://hetzner.com,role,dsa-authorities@hetzner.com,https://www.hetzner.com/legal/legal-notice/,collected,discard,functional/non-decision-maker mailbox (dsa-authorities),remove from CSV / do not assign
hetzner.com,https://hetzner.com,role,abuse@hetzner.com,https://www.hetzner.com/legal/terms-and-conditions/,collected,discard,functional/non-decision-maker mailbox (abuse),remove from CSV / do not assign
hetzner.com,https://hetzner.com,role,available@adr.org,https://www.hetzner.com/legal/terms-and-conditions/,collected,discard,third party / foreign / separate entity domain (adr.org),remove from CSV / do not assign
