company,website,contact_role,email,source_url
Siav S.p.A.,https://www.siav.com,role: General/Contact,info@siav.it,https://www.siav.com/it/contatti
Naudit HPCN,https://naudit.es,role: General/Contact,info@naudit.es,https://naudit.es/contacto-y-sedes/
Dinahosting S.L.,https://www.dinahosting.com,role: Technical Support,soporte@dinahosting.com,https://www.dinahosting.com/
Kibernetes S.r.l. (Gruppo Kib),https://gruppokib.it,role: General/Contact,posta@gruppokib.it,https://gruppokib.it/
Intersistemi Italia S.p.A.,https://www.intersistemi.it,role: General/Contact,segreteria@intersistemi.it,https://www.intersistemi.it/contatti/
CSA Research S.r.l. (Gruppo Intersistemi),https://www.intersistemi.it,role: General/Contact,info@csaresearch.it,https://www.intersistemi.it/contatti/
Geosystems S.r.l. (Gruppo Intersistemi),https://www.intersistemi.it,role: General/Contact,info@geosystems.it,https://www.intersistemi.it/contatti/
Zapi S.p.A.,https://www.zapi.com,role: General/Contact,info@zapispa.it,https://www.zapi.com/en/contact
Etxetar S.A.,https://www.etxetar.com,role: Service,service@etxetar.com,https://www.etxetar.com/en/service
Sothis Tecnologías de la Información S.L.,https://www.sothis.tech,role: General/Contact,info@sothis.tech,https://www.sothis.tech/contacto/
Sothis Tecnologías de la Información S.L.,https://www.sothis.tech,role: DPO (privacy/RGPD),rgpd@sothis.tech,https://www.sothis.tech/contacto/
Fatro S.p.A.,https://www.fatro.it,role: General/Contact,info@fatro.it,https://www.fatro.it/
Microdata Sistemi S.r.l.,https://www.microdata.it,role: General/Contact,info@microdata.it,https://www.microdata.it/pages.php?pageid=5
Microdata Sistemi S.r.l.,https://www.microdata.it,role: Technical Support,assistenza@microdata.it,https://www.microdata.it/pages.php?pageid=5
Microdata Sistemi S.r.l.,https://www.microdata.it,role: Product Inquiries,infoprodotti@microdata.it,https://www.microdata.it/pages.php?pageid=5
Gradiant,https://gradiant.org,role: General/Contact,gradiant@gradiant.org,https://gradiant.org/contacto/
Dylog Italia S.p.A.,https://www.dylog.it,role: General/Contact,info@dylog.it,https://www.dylog.it/contatti/
Dinova S.r.l.,https://www.dinova.one,role: General/Contact,dinova@dinova.one,https://www.dinova.one/contatti/
Tarlogic Security S.L.,https://www.tarlogic.com,role: General/Contact,contacto@tarlogic.com,https://www.tarlogic.com/es/contacto/
Tarlogic Security S.L.,https://www.tarlogic.com,role: DPO (privacy),rgpd@tarlogic.com,https://www.tarlogic.com/es/contacto/
E4 Computer Engineering S.p.A.,https://www.e4company.com,role: General/Contact,info@e4company.com,https://www.e4company.com/contatti/
