company,website,contact_role,email,source_url
MELAG Medizintechnik GmbH & Co. KG,https://www.melag.com,role - technical service,service@melag.de,https://www.melag.com/de/kontakt/
MELAG Medizintechnik GmbH & Co. KG,https://www.melag.com,person - Lars Trapper (Sales Region Nord),trapper@melag.de,https://www.melag.com/de/kontakt/
MELAG Medizintechnik GmbH & Co. KG,https://www.melag.com,person - Patrick Weiss (Sales Region Mitte/Ost),weiss@melag.de,https://www.melag.com/de/kontakt/
MELAG Medizintechnik GmbH & Co. KG,https://www.melag.com,person - Christoph Jordan (Sales Region West),c.jordan@melag.de,https://www.melag.com/de/kontakt/
MELAG Medizintechnik GmbH & Co. KG,https://www.melag.com,person - Joachim Hild (Sales Region Mitte/Suedwest),hild@melag.de,https://www.melag.com/de/kontakt/
medifa GmbH,https://www.medifa.com,role - general office,info@medifa.com,https://www.medifa.com/home/kontakt/
medifa GmbH,https://www.medifa.com,role - operating tables/info,info.operatingtables@medifa.com,https://www.medifa.com/home/kontakt/
mibe GmbH Arzneimittel,https://www.mibe.de,role - service,service@mibegmbh.de,https://www.mibe.de/de-de/kontakt-service/
Tyromotion GmbH,https://www.tyromotion.com,role - office,office@tyromotion.com,https://www.tyromotion.com/contact/
P. J. Dahlhausen & Co. GmbH,https://www.dahlhausen.de,role - info HQ Koeln,info@dahlhausen.de,https://www.dahlhausen.de/de_DE/p/kontakt/kontakt-deutschland
P. J. Dahlhausen & Co. GmbH,https://www.dahlhausen.de,role - info Halberstadt (Dahlhausen Medizintechnik GmbH),info.halberstadt@dahlhausen.de,https://www.dahlhausen.de/de_DE/p/kontakt/kontakt-deutschland
Moeller Medical GmbH,https://moeller-medical.com,role - general,info@moeller-medical.com,https://moeller-medical.com/de/kontakt/
Moeller Medical GmbH,https://moeller-medical.com,role - technical service,service@moeller-medical.com,https://moeller-medical.com/de/kontakt/
Rudolf Riester GmbH,https://riester.de,role - general,info@riester.de,https://riester.de/contact
seleon GmbH,https://www.seleon.com,role - general,info@seleon.com,https://www.seleon.com/de/
seleon GmbH,https://www.seleon.com,role - customers,customers@seleon.com,https://www.seleon.com/de/
Fritz Stephan GmbH,https://www.stephan-gmbh.com,role - general,info@stephan-gmbh.com,https://www.stephan-gmbh.com/
FUJIFILM medwork GmbH,https://www.medwork.com,role - general (FUJIFILM subsidiary),info_ffmw@fujifilm.com,https://www.medwork.com/
KELLER Pressure AG,https://www.keller-druck.com,role - general,info@keller-pressure.com,https://www.keller-druck.com/
PETER BREHM GmbH,https://www.peter-brehm.de,role - general,info@peter-brehm.de,https://www.peter-brehm.de/
VBM Medizintechnik GmbH,https://www.vbm-medical.de,role - sales,sales@vbm-medical.de,https://www.vbm-medical.de/
